,05out,05in,06out,06in,07out,07in,08out,08in,09out,09in,10out,10in,11out,11in,12out,12in,13out,13in,14out,14in,15out,15in
Alabama,97103,111423,101626,137526,112511,137795,100546,120858,106478,123976,98861,108512,106793,117327,109131,104438,96903,104092,111404,107796,100450,114355
Alaska,53714,30962,63115,37672,63013,36367,85146,40039,71328,40379,94101,36312,88715,34944,82821,33059,99352,34360,92545,37842,40317,34696
Arizona,156969,286351,193369,286719,189092,262174,187213,241122,196407,225100,176106,222725,211773,222488,205940,232421,183099,235916,203624,249545,184109,252951
Arkansas,66074,94945,75886,106377,83106,89076,77943,88544,65663,85553,64109,78973,77145,69845,64932,76743,76963,70291,65092,74528,76470,81398
California,714773,440871,742794,520061,662384,489205,583193,464978,542941,456731,569783,441066,558546,465188,561987,490442,579252,481654,588102,509749,639591,510569
Colorado,151895,167077,163184,194390,175436,197318,165341,196258,154124,181584,139964,185887,160171,201826,160853,204572,166011,206465,172856,217405,182512,226313
Connecticut,84932,76635,109068,85786,97698,78224,95981,78579,92573,76102,88434,77002,90314,70895,86405,80023,90003,87984,94165,82534,102051,76618
Delaware,21872,34454,29131,31604,29817,40222,30562,41460,28564,34797,30055,30327,26503,33758,25071,34746,24435,36498,26889,31808,30629,44216
Florida,442052,619689,534469,597681,529540,492206,503984,487588,437390,459544,426753,481779,435948,497706,426620,536368,422688,527644,435771,544604,442589,583426
Georgia,225062,291100,233050,374312,259761,334092,256416,287341,250915,277339,243395,247751,247955,270713,251183,276114,268649,277908,245125,273513,248289,282673
Hawaii,46619,47543,72210,60563,66216,51621,56001,55491,64272,53056,49218,53581,61568,57320,61471,54915,60098,57850,60456,57244,60407,53583
Idaho,48229,68123,58542,75401,48694,66226,59037,64791,58805,57710,53122,55494,57763,60336,55145,59167,63788,61510,56658,64633,55880,73809
Illinois,263289,207032,320637,233314,296778,231135,299941,221114,276125,204380,276964,202912,267611,214764,277158,207689,303891,222570,321700,208398,336807,208778
Indiana,137828,127746,150355,161010,150988,149454,132371,160590,143979,132380,129459,127172,143100,127874,144128,133092,135257,132192,136344,139760,140868,147458
Iowa,75104,80167,76287,86759,70460,82373,73095,79246,69837,74011,66530,72504,74275,70405,73192,75609,77443,75650,76864,79115,80919,85825
Kansas,81566,78283,86916,107831,92441,86303,89092,100310,88848,102531,90598,95059,94174,83512,92970,87828,93983,89735,92914,96467,99619,91215
Kentucky,90861,99472,98807,122080,103497,123148,91788,107347,94244,121084,92905,118296,98959,109830,102892,112533,98667,103004,98121,104627,108751,106707
Louisiana,175109,71499,277156,95410,117028,127554,108460,110280,90189,90521,88131,97625,86593,98943,95673,90619,98853,91496,85212,97431,99775,93229
Maine,34361,36624,35967,37670,34984,34362,31723,33418,31837,24672,32133,27703,33729,33579,38380,27491,28840,36780,31909,38911,36795,30003
