ID,Time,Longitude,Latitude,Occupancy,Distance
22224,14:35:33,114.03183,22.526484,1,29
22224,21:20:31,114.03215,22.54735,1,20
22224,16:27:07,114.032204,22.632084,0,52
22224,16:25:12,114.0327,22.634117,0,0
22224,00:16:30,114.033531,22.553284,1,1
22224,16:31:54,114.034317,22.625099,0,23
22224,01:28:55,114.036018,22.566532,1,17
22224,01:28:40,114.036697,22.566732,1,42
22224,19:57:01,114.039597,22.563267,1,48
22224,21:28:59,114.042282,22.559732,1,2
22224,21:30:56,114.044563,22.564383,1,49
22224,14:16:41,114.048065,22.549299,1,0
22224,11:16:36,114.048447,22.524668,0,37
22224,11:00:48,114.048515,22.525517,1,0
22224,12:32:35,114.048584,22.591867,0,61
22224,00:29:06,114.054199,22.564867,1,78
22224,12:26:58,114.055679,22.619917,0,0
22224,12:27:28,114.055733,22.618401,0,52
22224,01:26:10,114.057968,22.566351,1,81
22224,11:20:52,114.059364,22.527468,1,18
22224,11:20:07,114.059586,22.525999,1,18
22224,01:40:26,114.062233,22.558451,0,70
22224,21:32:56,114.06353,22.56855,1,64
22224,11:37:01,114.064316,22.530132,1,12
22224,11:38:17,114.064384,22.529716,0,9
22224,11:37:32,114.064598,22.530167,0,1
22224,12:08:03,114.06765,22.564318,1,69
22224,21:34:03,114.071732,22.569633,1,22
22224,11:44:17,114.074066,22.535151,0,9
22224,01:24:40,114.074883,22.571501,1,84
22224,11:50:33,114.0784,22.541483,1,19
22224,01:24:10,114.080551,22.57255,1,75
22224,06:39:26,114.083717,22.571283,1,76
22224,12:03:48,114.084152,22.554916,1,20
22224,06:38:11,114.09362,22.568199,1,61
22224,22:17:19,114.093948,22.5585,1,67
22224,12:43:20,114.09462,22.556316,0,5
22224,12:41:50,114.094749,22.556618,0,15
22224,12:55:05,114.094902,22.556467,0,0
22224,13:08:05,114.097481,22.558451,0,31
22224,05:55:40,114.100067,22.613417,0,2
22224,06:23:40,114.100151,22.613518,0,8
22224,00:33:51,114.100182,22.570551,1,58
22224,02:07:40,114.100533,22.607767,0,0
22224,21:43:48,114.103317,22.572433,1,59
22224,07:55:27,113.887047,22.547483,0,0
22224,22:48:10,114.104019,22.556368,1,37
22224,22:10:33,114.10598,22.590218,0,0
22224,01:09:03,114.107368,22.565018,0,22
22224,13:33:56,114.109947,22.552183,1,63
22224,13:34:55,114.111786,22.558167,1,53
22224,13:15:14,114.112801,22.558718,1,94
22224,13:31:02,114.113251,22.549833,1,3
22224,13:26:03,114.114464,22.562017,1,56
22224,21:50:18,114.114998,22.580282,1,30
22224,21:47:18,114.11525,22.576401,1,10
22224,21:49:48,114.116135,22.577999,1,42
22224,13:24:18,114.11702,22.568617,1,30
22224,21:48:33,114.118164,22.576099,1,37
22224,00:49:01,114.121819,22.571533,0,22
22224,13:22:03,114.122147,22.572567,1,2
22224,23:02:13,114.125336,22.54775,1,0
22224,23:11:28,114.13665,22.570351,1,10
22224,23:25:48,114.151001,22.637182,1,4
22224,23:24:33,114.151169,22.635683,1,53
22224,23:27:03,114.151733,22.641701,1,27
22224,23:29:42,114.173683,22.651518,1,98
22224,23:30:44,114.186447,22.658484,1,91
22224,23:35:13,114.225151,22.684067,1,71
22224,23:44:33,114.336319,22.729616,1,86
22224,23:45:19,114.346718,22.731518,1,99
22224,23:46:03,114.352852,22.740368,1,91
22224,23:47:33,114.3685,22.753,1,85
22224,23:50:04,114.399651,22.76635,1,88
22224,23:50:28,114.404785,22.769899,1,98
22224,18:27:15,113.78418,22.677816,1,2
22224,18:04:48,113.786667,22.679399,0,0
22224,18:25:48,113.786819,22.678801,1,9
22224,17:46:32,113.78685,22.678183,1,7
22224,17:48:17,113.786903,22.678682,0,3
22224,18:58:05,113.820335,22.648233,1,18
22224,18:56:49,113.821983,22.648451,1,0
22224,18:56:20,113.822182,22.648533,1,1
22224,18:54:20,113.822304,22.648533,1,9
22224,19:05:05,113.8237,22.648649,0,64
22224,18:53:19,113.824486,22.651449,1,26
22224,17:24:53,113.830254,22.650499,1,58
22224,17:21:09,113.831917,22.650734,1,2
22224,17:19:24,113.832069,22.650734,1,0
22224,17:21:38,113.832069,22.650734,1,0
22224,17:21:53,113.832115,22.650734,1,2
22224,17:24:23,113.832115,22.650734,1,3
22224,17:16:55,113.833351,22.648983,1,2
