Frenquency,Facility_Type,Lat,Lng,Facility_Name

1507,DISTRIBUTION CENTER,35.937244,-77.7914654,ROCKY MOUNT|NC

1228,DISTRIBUTION CENTER,39.184495,-86.5940794,BLOOMINGTON|IN

7392,DISTRIBUTION CENTER,33.6965225,-117.9122069,SANTA ANA|CA

3018,DISTRIBUTION CENTER,30.4366903,-89.0424272,GULFPORT|MS

22432,NETWORK DISTRIBUTION CENTER,38.7707699,-90.3818775,SAINT LOUIS|MO

2513,DISTRIBUTION CENTER,35.43649,-119.067036,BAKERSFIELD|CA

1206,DISTRIBUTION CENTER,38.7970712,-76.0676221,EASTON|MD

15492,DISTRIBUTION CENTER,34.4252657,-119.8667643,SANTA BARBARA|CA

7516,DISTRIBUTION CENTER,32.3793936,-86.17854,MONTGOMERY|AL

13788,DISTRIBUTION CENTER,40.137251,-88.2788042,CHAMPAIGN|IL

6334,DISTRIBUTION CENTER,42.6579269,-83.28911,PONTIAC|MI

27230,NETWORK DISTRIBUTION CENTER,47.295662,-122.325761,SEATTLE|WA

32566,DISTRIBUTION CENTER,32.9392517,-96.9970149,COPPELL|TX

16205,DISTRIBUTION CENTER,36.070544,-115.138843,LAS VEGAS|NV

63985,DISTRIBUTION CENTER,34.43575,-118.6304852,SANTA CLARITA|CA

14349,NETWORK DISTRIBUTION CENTER,35.0933462,-90.0199049,MEMPHIS|TN

1111,DISTRIBUTION CENTER,41.7575351,-87.7906815,BEDFORD PARK|IL

1327,DISTRIBUTION CENTER,40.6841683,-89.5956193,PEORIA|IL

3522,DISTRIBUTION CENTER,41.4392271,-90.507412,MILAN|IL

7346,DISTRIBUTION CENTER,43.6167082,-70.3262588,SOUTHERN|ME

4944,DISTRIBUTION CENTER,36.037528,-94.150158,FAYETTEVILLE|AR

660,DISTRIBUTION CENTER,58.3730988,-134.5933001,JUNEAU|AK

23878,NETWORK DISTRIBUTION CENTER,39.0980793,-94.6900226,KANSAS CITY|KS

2929,DISTRIBUTION CENTER ANNEX,38.720558,-76.659092,SOUTHERN|MD

53588,DISTRIBUTION CENTER,33.8607783,-117.8010695,ANAHEIM|CA

39308,DISTRIBUTION CENTER,42.8835762,-87.9094498,OAK CREEK|WI

656,DISTRIBUTION CENTER,41.3737272,-75.680976,SCRANTON|PA

1533,DISTRIBUTION CENTER,44.0784297,-103.2143267,RAPID CITY|SD

16926,DISTRIBUTION CENTER,29.5330695,-98.4090679,SAN ANTONIO|TX

42607,DISTRIBUTION CENTER ANNEX,39.7340892,-86.2632798,INDIANAPOLIS|IN

980,DISTRIBUTION CENTER,44.513545,-73.139172,BURLINGTON|VT

2178,DISTRIBUTION CENTER,44.3851325,-98.2200108,HURON|SD

23571,DISTRIBUTION CENTER,37.3897342,-121.8872392,SAN JOSE|CA

5216,DISTRIBUTION CENTER,42.3490437,-122.8992055,MEDFORD|OR

84788,DISTRIBUTION CENTER,40.6795456,-74.1885378,NEWARK|NJ

2733,DISTRIBUTION CENTER,46.7953997,-100.7566263,BISMARCK|ND

1270,DISTRIBUTION CENTER,39.7956139,-89.6244064,SPRINGFIELD|IL

2911,DISTRIBUTION CENTER,38.0402007,-87.5425027,EVANSVILLE|IN

8725,DISTRIBUTION CENTER,45.7747483,-108.4927955,BILLINGS|MT

3348,DISTRIBUTION CENTER,38.8133137,-104.7607074,COLORADO SPRINGS|CO

6870,DISTRIBUTION CENTER,32.9054306,-80.0754228,CHARLESTON|SC

801,DISTRIBUTION CENTER,46.8785369,-96.7901354,FARGO|ND

